timestamp,vehicleId,masterId,candidateMasterId,signalQuality,masterDistance,candidateDistance,masterSpeed,candidateSpeed,vehicleDirection,vehiclePosition- x,vehiclePosition- y,vehiclePosition- z,candidateTowerPosition- x,candidateTowerPosition- y,candidateTowerPosition- z,towerload,masterRSSI,candidateRSSI,masterSINR,candidateSINR,masterRSRP,candidateRSRP,predictedTGNN,predictedLSTM,selectedTower
1,2051,1,1,20.5081,0,1270.72,0,0,1,593.988,1566.4,0,391,313,50,0,17.729,20.5081,31.8345,0,0,-65.6655,0,14.3659,0
1,2052,1,1,11.2579,0,1456.67,5.29634e-310,0,1,677.479,1740.34,0,391,313,50,0,8.75928,11.2579,20.4981,0,0,-77.0019,0,14.3659,0
1,2053,1,1,1.92247,0,2267.98,0,0,1,2139.45,1756.67,0,391,313,50,0,-0.145473,1.92247,10.4311,0,0,-87.0689,0,14.3659,0
1,2054,1,1,14.7348,0,1376.71,0,0,1,1489.44,1141.42,0,391,313,50,0,11.4494,14.7348,22.6521,0,0,-74.8479,0,14.3659,0
1,2055,1,1,38.5923,0,326.569,0,0,1,390.948,635.719,0,391,313,50,0,29.6082,38.5923,50.671,0,0,-46.829,0,14.3659,0
1,2056,1,1,10.3538,0,2053.89,0,0,1,934.044,2293.17,0,391,313,50,0,8.47923,10.3538,18.3033,0,0,-79.1967,0,14.3659,0
1,2057,1,1,3.3106,0,2047.04,0,0,1,1748.43,1844.41,0,391,313,50,0,1.06926,3.3106,11.3373,0,0,-86.1627,0,14.3659,0
1,2058,1,1,26.3624,0,959.906,0,0,1,281.256,1265.3,0,391,313,50,0,23.484,26.3624,34.0532,0,0,-63.4468,0,14.3659,0
1,2049,1,2,6.37715,0,2042.91,0,0,1,1780.19,1374.15,0,156,136,50,0,6.37715,6.37715,12.7448,0,0,-84.7552,0,14.3659,0
1,2050,1,1,5.82031,0,2108.88,0,0,1,2009.39,1140.89,0,156,136,50,0,5.82031,5.82031,14.7883,0,0,-82.7117,0,14.3659,0
1,2051,1,1,17.729,0,1496.79,0,0,1,593.988,1566.4,0,156,136,50,0,17.729,17.729,29.0554,0,0,-68.4446,0,14.3659,0
1,2052,1,1,8.75928,0,1687.71,5.29634e-310,0,1,677.479,1740.34,0,156,136,50,0,8.75928,8.75928,17.9994,0,0,-79.5006,0,14.3659,0
1,2053,1,1,-0.145473,0,2561.86,0,0,1,2139.45,1756.67,0,156,136,50,0,-0.145473,-0.145473,8.3631,0,0,-89.1369,0,14.3659,0
1,2054,1,1,11.4494,0,1670.76,0,0,1,1489.44,1141.42,0,156,136,50,0,11.4494,11.4494,19.3667,0,0,-78.1333,0,14.3659,0
1,2055,1,1,29.6082,0,554.454,0,0,1,390.948,635.719,0,156,136,50,0,29.6082,29.6082,41.6869,0,0,-55.8131,0,14.3659,0
1,2056,1,1,8.47923,0,2293.74,0,0,1,934.044,2293.17,0,156,136,50,0,8.47923,8.47923,16.4287,0,0,-81.0713,0,14.3659,0
1,2057,1,1,1.06926,0,2336.03,0,0,1,1748.43,1844.41,0,156,136,50,0,1.06926,1.06926,9.09594,0,0,-88.4041,0,14.3659,0
1,2058,1,1,23.484,0,1137.33,0,0,1,281.256,1265.3,0,156,136,50,0,23.484,23.484,31.1747,0,0,-66.3253,0,14.3659,0
2,2049,2,2,11.5254,0,2043.35,0,0,1,1780.78,1374.09,0,156,136,50,0,9.01522,11.5254,18.8183,0,0,-78.6817,2.95303,14.3659,0
2,2050,1,1,1.294,0,2107.21,0,0,1,2007.44,1140.99,0,156,136,50,0,1.294,1.294,15.1703,0,0,-89.226,0,14.3659,0
2,2051,1,1,17.6786,0,1495.19,0,0,1,592.875,1565.06,0,156,136,50,0,17.6786,17.6786,26.0814,0,0,-72.6531,0,14.3659,0
2,2052,1,1,9.06555,0,1691.93,5.29634e-310,0,1,678.79,1744.36,0,156,136,50,0,9.06555,9.06555,15.0608,0,0,-80.1529,0,14.3659,0
2,2053,1,1,-0.216977,0,2563.17,0,0,1,2139.46,1758.72,0,156,136,50,0,-0.216977,-0.216977,8.34493,0,0,-89.1551,0,14.3659,0
2,2054,1,1,16.9291,0,1669.45,0,0,1,1489.43,1139.26,0,156,136,50,0,16.9291,16.9291,22.4799,0,0,-75.0201,0,14.3659,0
2,2055,1,1,31.7693,0,555.706,0,0,1,393.362,635.969,0,156,136,50,0,31.7693,31.7693,36.7862,0,0,-57.8203,0,14.3659,0
2,2056,1,1,14.9854,0,2295.84,0,0,1,936.125,2294.66,0,156,136,50,0,14.9854,14.9854,21.8012,0,0,-75.6988,0,14.3659,0
2,2057,1,1,14.4374,0,2334.28,0,0,1,1756.96,1834.03,0,156,136,50,0,14.4374,14.4374,21.5332,0,0,-77.1689,0,14.3659,0
2,2058,1,1,16.0258,0,1137.61,0,0,1,277.4,1266.01,0,156,136,50,0,16.0258,16.0258,23.4485,0,0,-73.4024,0,14.3659,0
2,2049,2,2,14.1629,0,1749.25,0,0,1,1780.78,1374.09,0,391,313,50,0,14.1629,14.1629,21.4558,0,0,-76.0442,2.95303,14.3659,0
2,2050,1,1,3.81031,0,1816.85,0,0,1,2007.44,1140.99,0,391,313,50,0,1.294,3.81031,10.7903,0,0,-86.7097,0,14.3659,0
2,2051,1,1,20.4595,0,1269.22,0,0,1,592.875,1565.06,0,391,313,50,0,17.6786,20.4595,27.6278,0,0,-69.8722,0,14.3659,0
2,2052,1,1,11.5578,0,1460.86,5.29634e-310,0,1,678.79,1744.36,0,391,313,50,0,9.06555,11.5578,19.8394,0,0,-77.6606,0,14.3659,0
2,2053,1,1,1.84979,0,2269.3,0,0,1,2139.46,1758.72,0,391,313,50,0,-0.216977,1.84979,10.4117,0,0,-87.0883,0,14.3659,0
2,2054,1,1,20.2174,0,1375.41,0,0,1,1489.43,1139.26,0,391,313,50,0,16.9291,20.2174,25.7682,0,0,-71.7318,0,14.3659,0
2,2055,1,1,40.7784,0,326.825,0,0,1,393.362,635.969,0,391,313,50,0,31.7693,40.7784,48.6889,0,0,-48.8111,0,14.3659,0
2,2056,1,1,16.8591,0,2055.88,0,0,1,936.125,2294.66,0,391,313,50,0,14.9854,16.8591,23.6749,0,0,-73.8251,0,14.3659,0
2,2057,1,1,16.6833,0,2044.96,0,0,1,1756.96,1834.03,0,391,313,50,0,14.4374,16.6833,22.5769,0,0,-74.9231,0,14.3659,0
2,2058,1,1,18.8882,0,961.056,0,0,1,277.4,1266.01,0,391,313,50,0,16.0258,18.8882,26.96,0,0,-70.54,0,14.3659,0
2,2049,2,2,11.5254,0,2043.35,0,0,1,1780.78,1374.09,0,156,136,50,0,14.1629,11.5254,18.8183,0,0,-78.6817,2.95303,14.3659,0
2,2050,1,1,1.294,0,2107.21,0,0,1,2007.44,1140.99,0,156,136,50,0,1.294,1.294,8.27402,0,0,-89.226,0,14.3659,0
2,2051,1,1,17.6786,0,1495.19,0,0,1,592.875,1565.06,0,156,136,50,0,17.6786,17.6786,24.8469,0,0,-72.6531,0,14.3659,0
2,2052,1,1,9.06555,0,1691.93,5.29634e-310,0,1,678.79,1744.36,0,156,136,50,0,9.06555,9.06555,17.3471,0,0,-80.1529,0,14.3659,0
2,2053,1,1,-0.216977,0,2563.17,0,0,1,2139.46,1758.72,0,156,136,50,0,-0.216977,-0.216977,8.34493,0,0,-89.1551,0,14.3659,0
2,2054,1,1,16.9291,0,1669.45,0,0,1,1489.43,1139.26,0,156,136,50,0,16.9291,16.9291,22.4799,0,0,-75.0201,0,14.3659,0
2,2055,1,1,31.7693,0,555.706,0,0,1,393.362,635.969,0,156,136,50,0,31.7693,31.7693,39.6797,0,0,-57.8203,0,14.3659,0
2,2056,1,1,14.9854,0,2295.84,0,0,1,936.125,2294.66,0,156,136,50,0,14.9854,14.9854,21.8012,0,0,-75.6988,0,14.3659,0
2,2057,1,1,14.4374,0,2334.28,0,0,1,1756.96,1834.03,0,156,136,50,0,14.4374,14.4374,20.3311,0,0,-77.1689,0,14.3659,0
2,2058,1,1,16.0258,0,1137.61,0,0,1,277.4,1266.01,0,156,136,50,0,16.0258,16.0258,24.0976,0,0,-73.4024,0,14.3659,0
2,2049,2,2,14.1629,0,1749.25,0,0,1,1780.78,1374.09,0,391,313,50,0,14.1629,14.1629,21.4558,0,0,-76.0442,2.95303,14.3659,0
