timestamp,vehicleId,masterId,candidateMasterId,masterDistance,candidateDistance,masterSpeed,candidateSpeed,vehicleDirection,vehiclePosition-x,vehiclePosition-y,towerload,masterRSSI,candidateRSSI,masterSINR,candidateSINR,masterRSRP,candidateRSRP,selectedTower
99,2058,1,1,0,1677.12,0,0,1,686.631,1726.17,0.35,16.1613,14.4023,0,21.942,0,-75.558,-1
99,2058,1,1,0,1444.63,0,0,2,686.631,1726.17,0.4,14.4023,16.9349,0,24.4747,0,-73.0253,-1
99,2058,1,1,0,1677.12,0,0,2,686.631,1726.17,0.4,14.4023,14.4023,0,21.942,0,-75.558,-1
99,2058,1,1,0,1444.63,0,0,4,686.631,1726.17,0.4,14.4023,16.9349,0,24.4747,0,-73.0253,-1
99,2058,1,1,0,1677.12,0,0,4,686.631,1726.17,0.4,14.4023,14.4023,0,21.942,0,-75.558,-1
100,2058,1,1,0,1693.07,0,0,1,672.74,1747.51,0.35,14.4023,1.76332,0,10.1333,0,-88.9943,-1
100,2058,1,1,0,1462.77,0,0,2,672.74,1747.51,0.4,0.399544,2.88107,0,10.9872,0,-86.5128,-1
100,2058,1,1,0,1693.07,0,0,2,672.74,1747.51,0.4,0.399544,0.399544,0,8.50565,0,-88.9943,-1
100,2058,1,1,0,1462.77,0,0,4,672.74,1747.51,0.4,0.399544,2.88107,0,10.9872,0,-86.5128,-1
100,2058,1,1,0,1693.07,0,0,4,672.74,1747.51,0.4,0.399544,0.399544,0,8.50565,0,-88.9943,-1
